product,nbAvailable,category,marketingStatus,amount
Ergonomic Keyboard,103,Electronics,Active,129.00
Standing Desk Mat,58,Furniture,Active,89.99
4K Monitor,24,Electronics,New Arrival,549.00
Mesh Office Chair,12,Furniture,Best Seller,379.00
Portable SSD 1TB,67,Electronics,Active,109.95
Laser Printer,9,Electronics,Clearance,299.00
Bamboo Desk Organizer,145,Stationery,New Arrival,24.99
Filing Cabinet,18,Furniture,Active,179.00
Wireless Charger Pad,210,Electronics,Best Seller,39.99
Fountain Pen Set,83,Stationery,Clearance,54.50
Noise-Cancelling Headphones,45,Electronics,Active,199.00
Monitor Stand,76,Furniture,Active,49.99
Smart Whiteboard,7,Electronics,New Arrival,899.00
Leather Desk Pad,134,Stationery,Best Seller,34.99
Cable Management Box,92,Accessories,Active,19.99
USB Microphone,38,Electronics,Active,89.99
Adjustable Monitor Arm,29,Furniture,New Arrival,64.99
Gel Ink Pens Pack,260,Stationery,Active,12.99
Laptop Stand,117,Accessories,Best Seller,44.99
Desk Fan,53,Electronics,Clearance,39.99
Wireless Presenter,41,Electronics,Active,59.99
Executive Desk,6,Furniture,New Arrival,1299.00
Shredder,14,Electronics,Active,149.00
Index Card Set,400,Stationery,Active,6.99
Webcam 4K,33,Electronics,New Arrival,149.99
Bookshelf,20,Furniture,Active,229.00
Mechanical Keyboard,88,Electronics,Best Seller,159.00
Stapler Heavy Duty,65,Stationery,Active,29.99
Footrest,47,Furniture,Active,54.99
HDMI Switch,99,Electronics,Active,34.99
Standing Desk,11,Furniture,Best Seller,699.00
Planner 2026,310,Stationery,New Arrival,18.99
Portable Monitor,22,Electronics,New Arrival,249.00
Drawer Pedestal,16,Furniture,Active,189.00
Label Maker,57,Stationery,Active,49.99
Ring Light,74,Electronics,Best Seller,69.99
Lounge Chair,8,Furniture,Clearance,449.00
Correction Tape Pack,180,Stationery,Active,9.99
Docking Station,36,Electronics,Active,179.00
Whiteboard Markers Set,215,Stationery,Active,14.99
Laptop Backpack,91,Accessories,Best Seller,79.99
Conference Speakerphone,13,Electronics,New Arrival,299.00
Paper Shredder Bags,500,Accessories,Active,12.99
Ergonomic Mouse,126,Electronics,Active,59.99
Floating Shelf,30,Furniture,Active,39.99
Wrist Rest Pad,163,Accessories,Best Seller,19.99
Smart Power Strip,48,Electronics,Active,44.99
Desk Calendar,290,Stationery,New Arrival,11.99
Tote Conference Bag,72,Accessories,Active,34.99
Projector Screen,10,Electronics,Active,199.00
Blue Light Glasses,55,Accessories,New Arrival,29.99
Office Sofa,5,Furniture,Clearance,899.00
Tape Dispenser,140,Stationery,Active,8.99
Bluetooth Speaker,64,Electronics,Active,89.99
Monitor Privacy Filter,43,Accessories,Active,49.99
Pen Holder,200,Stationery,Best Seller,7.99
Wireless Keyboard,97,Electronics,Active,79.99
Corner Desk,9,Furniture,New Arrival,849.00
Scissors Professional,175,Stationery,Active,11.99
USB Hub 10-Port,82,Electronics,Best Seller,54.99
Ergonomic Footrest,39,Furniture,Active,49.99
Colored Sticky Notes,330,Stationery,Active,5.99
Document Scanner,17,Electronics,Active,249.00
Meeting Room Table,4,Furniture,Clearance,1499.00
Wireless Number Pad,61,Electronics,New Arrival,39.99
Laptop Cooling Pad,50,Accessories,Active,34.99
Binder Set,155,Stationery,Active,19.99
Surge Protector,108,Electronics,Best Seller,29.99
Guest Chair,23,Furniture,Active,199.00
Magnetic Whiteboard,19,Stationery,New Arrival,89.99
Trackball Mouse,35,Electronics,Active,79.99
Desktop Organizer,87,Accessories,Best Seller,27.99
VESA Mount Kit,44,Accessories,Active,24.99
Highlighter Set,270,Stationery,Active,8.99
Video Conferencing Kit,11,Electronics,New Arrival,499.00
Bookend Set,90,Accessories,Active,14.99
Folding Table,14,Furniture,Clearance,149.00
Paper A4 500 Sheets,420,Stationery,Active,9.99
Headset Stand,68,Accessories,Active,22.99
Smart Desk Lamp,40,Electronics,New Arrival,79.99
Visitor Chair,27,Furniture,Active,169.00
Envelopes Pack 100,350,Stationery,Active,7.99
KVM Switch,31,Electronics,Active,99.99
Sit-Stand Converter,16,Furniture,Best Seller,349.00
Whiteboard Eraser,190,Stationery,Active,4.99
Bluetooth Keyboard,73,Electronics,Active,69.99
Storage Ottoman,13,Furniture,New Arrival,259.00
Stamp Set,120,Stationery,Active,15.99
Portable Projector,8,Electronics,New Arrival,599.00
Desk Drawer Insert,52,Accessories,Active,17.99
Ruler Set,210,Stationery,Active,6.99
Conference Chair,18,Furniture,Active,329.00
Cable Clips Pack,300,Accessories,Best Seller,6.99
Fax Machine,6,Electronics,Clearance,179.00
Pocket Notebook,440,Stationery,Active,3.99
Monitor Riser,59,Furniture,Active,39.99
Label Printer,26,Electronics,Active,129.00
Locker Cabinet,10,Furniture,Clearance,299.00
