ID,product
1001,Scanner
1002,Projector
1003,USB Hub
1004,Mouse
1005,Pen
1006,Charger
1007,Smartphone
1008,Mouse
1009,Scanner
1010,Stapler
1011,Microphone
1012,Whiteboard
1013,Chair
1014,Smartphone
1015,Stapler
1016,Notebook
1017,RAM Module
1018,USB Hub
1019,CPU Cooler
1020,Power Bank
1021,Pen
1022,CPU Cooler
1023,Scanner
1024,Microphone
1025,Projector
1026,Microphone
1027,Keyboard
1028,Switch
1029,Printer
1030,Monitor
1031,Router
1032,Switch
1033,Stapler
1034,Charger
1035,Speaker
1036,Keyboard
1037,Laptop
1038,Chair
1039,Desk Lamp
1040,Desk
1041,Cable
1042,RAM Module
1043,Scanner
1044,Tablet
1045,Whiteboard
1046,Stapler
1047,Desk
1048,Projector
1049,Router
1050,Whiteboard
