ID,amount
1001,145.77
1002,18.78
1003,744.39
1004,485.76
1005,633.4
1006,174.4
1007,364.26
1008,571.24
1009,819.89
1010,76.8
1011,657.34
1012,251.73
1013,504.06
1014,908.45
1015,409.26
1016,793.42
1017,214.65
1018,328.7
1019,905.85
1020,631.96
1021,816.41
1022,461.72
1023,827.84
1024,594.13
1025,121.8
1026,250.91
1027,481.75
1028,123.13
1029,97.5
1030,541.3
1031,734.6
1032,821.16
1033,373.09
1034,131.69
1035,657.81
1036,763.49
1037,184.21
1038,849.44
1039,231.91
1040,926.59
1041,905.95
1042,581.93
1043,50.16
1044,346.15
1045,303.46
1046,344.28
1047,975.56
1048,469.27
1049,775.3
1050,391.19
