DOCID;DOCPOS;DOCTIME;ITEMID;SALES_VALUE;SALES_QUANTITY;PURCHASE_VALUE;PURCHASE_QUANTITY;CURRENCY;UNIT
0000001001;0001;2020-04-08 10:17:10.000;ITM0000019;11.97;3;0;0;EUR;KG
0000001002;0001;2020-04-08 10:27:10.000;ITM0000008;15.54;6;0;0;EUR;PKG
0000001003;0001;2020-04-08 10:37:10.000;ITM0000008;20.72;8;0;0;EUR;PKG
0000001003;0002;2020-04-08 10:37:10.000;ITM0000014;1.59;1;0;0;EUR;L
0000001004;0001;2020-04-08 10:47:10.000;ITM0000005;5.78;2;0;0;EUR;KG
0000001005;0001;2020-04-08 10:57:10.000;ITM0000013;11.61;9;0;0;EUR;L
0000001006;0001;2020-04-08 11:07:10.000;ITM0000019;11.97;3;0;0;EUR;KG
0000001006;0002;2020-04-08 11:07:10.000;ITM0000005;26.01;9;0;0;EUR;KG
0000001007;0001;2020-04-08 11:17:10.000;ITM0000005;20.23;7;0;0;EUR;KG
0000001007;0002;2020-04-08 11:17:10.000;ITM0000008;18.13;7;0;0;EUR;PKG
0000001008;0001;2020-04-08 11:27:10.000;ITM0000003;8.94;6;0;0;EUR;KG
0000001008;0002;2020-04-08 11:27:10.000;ITM0000017;36.72;8;0;0;EUR;KG
0000001009;0001;2020-04-08 11:37:10.000;ITM0000007;2.89;1;0;0;EUR;PKG
0000001010;0001;2020-04-08 11:47:10.000;ITM0000017;32.13;7;0;0;EUR;KG
0000001010;0002;2020-04-08 11:47:10.000;ITM0000001;2.99;1;0;0;EUR;KG
0000001011;0001;2020-04-08 11:57:10.000;ITM0000001;17.94;6;0;0;EUR;KG
0000001011;0002;2020-04-08 11:57:10.000;ITM0000011;3.51;9;0;0;EUR;L
0000001012;0001;2020-04-08 12:07:10.000;ITM0000015;20.61;9;0;0;EUR;L
0000001013;0001;2020-04-08 12:17:10.000;ITM0000005;17.34;6;0;0;EUR;KG
0000001014;0001;2020-04-08 12:27:10.000;ITM0000007;2.89;1;0;0;EUR;PKG
0000001014;0002;2020-04-08 12:27:10.000;ITM0000007;23.12;8;0;0;EUR;PKG
0000001015;0001;2020-04-08 12:37:10.000;ITM0000007;23.12;8;0;0;EUR;PKG
0000001015;0002;2020-04-08 12:37:10.000;ITM0000020;39.45;5;0;0;EUR;KG
0000001016;0001;2020-04-08 12:47:10.000;ITM0000017;18.36;4;0;0;EUR;KG
0000001016;0002;2020-04-08 12:47:10.000;ITM0000007;11.56;4;0;0;EUR;PKG
0000001017;0001;2020-04-08 12:57:10.000;ITM0000016;32.31;9;0;0;EUR;KG
